FROM_BRANCH,LORRY_ROUTE_FROM,FROM_LAT,FROM_LONG,TO_BRANCH,LORRY_ROUTE_TO,TO_LAT,TO_LONG,COUNT(*)
MUMBAI HUB-MAHARASTRA,2117,19.2924351,73.1082178,MUMBAI HUB-MAHARASTRA,1601,17.6103329,78.5213145,224
GANDHIDHAM-GUJARAT,306,23.0612,70.1282,GANDHIDHAM-GUJARAT,506,15.8523557,74.5354957,1
GREATER NOIDA-UTTAR PRADESH,1312,28.448128,77.530355,GREATER NOIDA-UTTAR PRADESH,1105,30.7069902,76.6913719,3
CHENNAI SVCHATRAM-TAMILNADU,1001,12.8975285,79.883473,CHENNAI SVCHATRAM-TAMILNADU,511,13.2444,77.229,54
NARSAPURA-KARNATAKA,525,13.1314,77.9763,NARSAPURA-KARNATAKA,2806,18.6817064,74.1130227,1
SURAJPUR G.NOIDA,1370,28.5315089,77.4687343,SURAJPUR G.NOIDA,1017,13.245269,79.117715,11
RAJKOT-GUJARAT,2902,22.3265,70.8541,RAJKOT-GUJARAT,2902,22.3265,70.8541,23
BINOLA HUB-HARYANA,1328,28.3106646,76.8781538,BINOLA HUB-HARYANA,1331,28.6672,77.2065,5
RUDRAPUR-UTTRAKHAND,3301,29.01588,79.4086,RUDRAPUR-UTTRAKHAND,809,22.5614951,88.1767703,49
JAIPUR-RAJASTHAN,1701,26.865057,75.680062,JAIPUR-RAJASTHAN,1328,28.3106646,76.8781538,2
BANGLORE HUB-KARNATAKA,511,13.2444,77.229,BANGLORE HUB-KARNATAKA,505,12.725908,77.794993,6
PITHAMPUR-MADHYA PRADESH,2601,22.6272376,75.581131,PITHAMPUR-MADHYA PRADESH,3301,29.01588,79.4086,35
BARODA-GUJARAT,601,22.3532,73.2346,BARODA-GUJARAT,301,22.8584141,72.3796371,103
MANESAR-HARYANA,1322,28.3775364,76.9388545,MANESAR-HARYANA,1601,17.6103329,78.5213145,5
GOA,1501,15.3635,73.9486,GOA,2501,21.133502,78.8936551,3
DEWAS-MADHYA PRADESH,3508,22.9703,76.1229,DEWAS-MADHYA PRADESH,3503,26.3392,78.2826,3
JAMSHEDPUR-JHARKHAND,3405,22.824269,86.268545,JAMSHEDPUR-JHARKHAND,809,22.5614951,88.1767703,18
RAJKOT-GUJARAT,2902,22.3265,70.8541,RAJKOT-GUJARAT,3301,29.01588,79.4086,30
JAMSHEDPUR-JHARKHAND,3405,22.824269,86.268545,JAMSHEDPUR-JHARKHAND,1003,13.2316,80.1633,1
JASAI MUMBAI-MAHARASTRA,2122,18.9321187,73.017467,JASAI MUMBAI-MAHARASTRA,3301,29.01588,79.4086,7
TALOJA MUMBAI-MAHARASTRA,2112,19.0687,73.1369,TALOJA MUMBAI-MAHARASTRA,2117,19.2924351,73.1082178,14
